X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
33.0,33.0,train,1.1405546617046366E-4,42.02829224965071,0.45828291421676887
34.0,34.0,train,7.010771839465341E-5,16.1701547416286,0.34210915962934096
35.0,35.0,train,8.960965991759201E-5,25.907093132290328,0.3992769029377522
36.0,36.0,train,7.04782645953116E-5,16.36648107730284,0.34329659641934573
37.0,37.0,train,1.503246097585368E-4,58.47644326434173,0.5271869026666276
38.0,38.0,train,1.4285065322275524E-4,56.15761644863012,0.5144603795860263
39.0,39.0,train,2.3457933614756183E-4,79.27273314062347,0.6350287760571084
40.0,40.0,train,2.1998489476872908E-4,76.73000590458922,0.6200161643678513
41.0,41.0,train,1.5261394919897773E-4,59.1831648339275,0.53095273797105
42.0,42.0,train,1.331362073936531E-4,52.53224537914817,0.49685770919938244
43.0,43.0,train,1.4252538225293122E-4,55.989223857267696,0.5138909385976705
44.0,44.0,train,1.731136462414923E-4,65.46046802028935,0.562178037971938
45.0,45.0,train,1.2048304491093656E-4,46.08382545967254,0.47192131982059654
46.0,46.0,train,1.6614403605394406E-5,0.8013876311791845,0.10971338826226094
47.0,47.0,train,1.3542208670010896E-4,53.435993289644166,0.501113603268419
48.0,48.0,train,1.5293660673607937E-4,59.267246900431324,0.5314786738659409
49.0,49.0,train,1.4475855596135948E-4,56.79721218998177,0.5177738014658956
50.0,50.0,train,2.019159933486173E-4,72.7584875038071,0.5996266411262542
51.0,51.0,train,6.862713950725489E-5,15.50591126054988,0.33732138857981947
52.0,52.0,train,1.1180946670247688E-4,39.94228266523671,0.4533496217370973
53.0,53.0,train,7.211494961921807E-5,17.204444199189666,0.3484905744407885
54.0,54.0,train,2.711725009394903E-4,83.35454014368806,0.6679245696712902
55.0,55.0,train,1.8532988806251383E-4,68.93014735201318,0.5788843864635986
56.0,56.0,train,1.3059774876448359E-4,51.47240862564219,0.49204565376219045
57.0,57.0,train,1.0367642679418299E-4,34.0254634232509,0.4347081450099749
58.0,58.0,train,1.7660201713297553E-4,66.3720118875216,0.5670822654083365
59.0,59.0,train,1.0117885276495559E-4,32.69312310841637,0.4287256707941668
60.0,60.0,train,1.5890937412628913E-4,61.1239931638624,0.5410056984912189
61.0,61.0,train,1.4202439341012214E-4,55.784238420426576,0.5130112565637936
62.0,62.0,train,1.0896941787156792E-4,37.70882800516937,0.44698136958216456
63.0,63.0,train,2.143722820641603E-4,75.68740812410554,0.6139086385620446
64.0,64.0,train,1.813573585705796E-4,67.70700965656147,0.5735933904962675
65.0,65.0,train,1.646518537384809E-4,63.08770299483496,0.5498070720220551
66.0,66.0,train,2.4215311904521094E-4,80.15657619009916,0.6423614244562846
67.0,67.0,train,2.1301679837495643E-4,75.46978302852537,0.6124040817051084
68.0,68.0,train,2.110258010722827E-4,75.0706529388651,0.6101727347398771
69.0,69.0,train,1.8156777292295707E-4,67.75304427890073,0.5738769729263702
70.0,70.0,train,1.8195274297443535E-4,67.88330819534814,0.57439483471548
71.0,71.0,train,2.3527242763330325E-4,79.34291418522069,0.6357122764245108
72.0,72.0,train,2.0153341419582987E-4,72.69255993251679,0.5991712439092319
73.0,73.0,train,2.6137961467468225E-4,82.28049987892499,0.6597166483413262
74.0,74.0,train,5.52604312187619E-4,95.895077645279,0.8038763549123207
75.0,75.0,train,4.7813436566639307E-4,94.88138879228713,0.7800486225678508
76.0,76.0,train,1.4377284227971117E-4,56.4909445469575,0.5160675960437501
77.0,77.0,train,6.826267351318133E-5,15.343236655020176,0.3361321015999441
78.0,78.0,train,6.91350311323482E-5,15.717956952698282,0.3389715983481046
79.0,79.0,train,2.2787143758700983E-4,78.08002512534806,0.6282787170946892
80.0,80.0,train,1.808512631388385E-4,67.59628568833125,0.5729097606423272
81.0,81.0,train,5.7193378362913475E-5,10.607410562400434,0.2978611120131307
82.0,82.0,train,1.7070957588148392E-4,64.68131491651842,0.5587330225251664
