species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Tachysphex latifrons,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",3.0,3.0,3.0,,,720178.0,,,,,
Tachysphex lindbergi,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",1.0,1.0,1.0,,,720127.0,,,,,
Tachysphex mediterraneus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",4.0,4.0,1.0,HySI,,705592.0,,,,,
Tachysphex mocsaryi,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,HySI",1.0,1.0,1.0,HySI,,705590.0,,,,,
Tachysphex moczaryi,Arthropoda,Insecta,Hymenoptera,Crabronidae,FE,,,,,gap,,,,,,
Tachysphex nitidior,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",24.0,27.0,2.0,HySI,,379221.0,314628.0,,,,
Tachysphex nitidissimus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",35.0,43.0,8.0,HySI,,729614.0,,,,,
Tachysphex nobilis,Arthropoda,Insecta,Hymenoptera,Crabronidae,BOLD,2.0,2.0,1.0,,,738794.0,,,,,
Tachysphex obscuripennis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,iNat,HySI,DTN",26.0,26.0,3.0,HySI,,314625.0,,,,,
Tachysphex obscurus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,HySI,gap,705590.0,,,,,
Tachysphex panzeri,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",26.0,38.0,6.0,HySI,,453333.0,740802.0,729606.0,,,
Tachysphex persa,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",5.0,5.0,2.0,,,330448.0,,,,,
Tachysphex plicosus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",3.0,3.0,1.0,,,720179.0,,,,,
Tachysphex pompiliformis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",53.0,60.0,6.0,HySI,,314626.0,729346.0,,,,
Tachysphex psammobius,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",7.0,13.0,2.0,,,314623.0,,,,,
Tachysphex pseudopanzeri,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",1.0,1.0,1.0,HySI,,738756.0,,,,,
Tachysphex punctipleuris,Arthropoda,Insecta,Hymenoptera,Crabronidae,BOLD,11.0,11.0,1.0,,,729347.0,,,,,
Tachysphex saundersi,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",2.0,2.0,1.0,,,771758.0,,,,,
Tachysphex schmiedeknechti,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",3.0,5.0,2.0,HySI,,738759.0,,,,,
Tachysphex simonyi,Arthropoda,Insecta,Hymenoptera,Crabronidae,BOLD,5.0,5.0,2.0,,,729753.0,,,,,
Tachysphex sordidus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",2.0,2.0,2.0,HySI,,729349.0,720139.0,,,,
Tachysphex strigosus,Arthropoda,Insecta,Hymenoptera,Crabronidae,BOLD,15.0,15.0,4.0,,,738772.0,,,,,
Tachysphex subdentatus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",3.0,4.0,2.0,,,720145.0,,,,,
Tachysphex tarsinus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",16.0,17.0,2.0,HySI,,379220.0,,,,,
Tachysphex tessellatus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",5.0,5.0,1.0,HySI,,705591.0,,,,,
Tachysphex unicolor,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",46.0,56.0,4.0,HySI,,379217.0,771410.0,,,,
Tachytes argenteus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",1.0,1.0,1.0,,,576722.0,,,,,
Tachytes argyreus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",1.0,5.0,1.0,HySI,,576723.0,,,,,
Tachytes matronalis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Tachytes procerus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",1.0,1.0,0.0,,,967879.0,,,,,
Tachytes pygmaeus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",3.0,6.0,1.0,HySI,,576729.0,675829.0,,,,
Tachytes sinensis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,HySI,gap,,,,,,
Tracheliodes curvitarsus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",1.0,2.0,1.0,,,330679.0,,,,,
Tracheliodes quinquenotatus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",7.0,9.0,1.0,HySI,,675744.0,,,,,
Tracheliodes varus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",3.0,4.0,1.0,,,330680.0,,,,,
Trypoxylon albipes,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Trypoxylon attenuatum,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",184.0,194.0,7.0,HySI,,314638.0,192980.0,192965.0,,,
Trypoxylon beaumonti,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",13.0,15.0,1.0,,,311751.0,,,,,
Trypoxylon clavicerum,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",12.0,14.0,1.0,HySI,,311759.0,311753.0,,,,
Trypoxylon deceptorium,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",13.0,19.0,2.0,,,314637.0,,,,,
Trypoxylon exiguum,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",97.0,115.0,1.0,HySI,,311759.0,,,,,
Trypoxylon kostylevi,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",10.0,14.0,0.0,,,311758.0,,,,,
Trypoxylon latilobatum,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Trypoxylon medium,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",36.0,45.0,2.0,HySI,,311760.0,,,,,
Trypoxylon megriense,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Trypoxylon minus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",76.0,93.0,1.0,HySI,,311750.0,,,,,
Trypoxylon rubiginosum,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Trypoxylon scutatum,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",13.0,22.0,2.0,,,311757.0,,,,,
Trypoxylon syriacum,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
