species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Crossocerus guichardi,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Crossocerus heydeni,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",8.0,9.0,1.0,HySI,,308639.0,,,,,
Crossocerus italicus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",2.0,2.0,1.0,,,502010.0,,,,,
Crossocerus lentus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,iNat,HySI,DTN",18.0,24.0,1.0,HySI,,192972.0,285632.0,,,,
Crossocerus lindbergi,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",2.0,4.0,1.0,,,502009.0,,,,,
Crossocerus lundbladi,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",7.0,7.0,1.0,,,643119.0,,,,,
Crossocerus magniceps,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",25.0,31.0,1.0,HySI,,285640.0,,,,,
Crossocerus megacephalus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",20.0,31.0,2.0,HySI,,285640.0,198494.0,,,,
Crossocerus nigritus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",20.0,22.0,2.0,,,308638.0,,,,,
Crossocerus ovalis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",21.0,27.0,1.0,,,285642.0,,,,,
Crossocerus podagricus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",47.0,48.0,1.0,,,198531.0,,,,,
Crossocerus pullulus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",2.0,3.0,1.0,,,768323.0,,,,,
Crossocerus pullus,Arthropoda,Insecta,Hymenoptera,Crabronidae,BOLD,0.0,1.0,0.0,,gap,500206.0,,,,,
Crossocerus quadrimaculatus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",29.0,33.0,3.0,,,285644.0,,,,,
Crossocerus styrius,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",9.0,9.0,1.0,,,308640.0,,,,,
Crossocerus suzukii,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",8.0,8.0,1.0,HySI,,511954.0,,,,,
Crossocerus tarsatus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",24.0,31.0,2.0,HySI,,508860.0,308641.0,,,,
Crossocerus toledensis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Crossocerus vagabundus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",26.0,28.0,1.0,,,308644.0,,,,,
Crossocerus varus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",34.0,39.0,2.0,ITIS,,285647.0,,,,,
Crossocerus walkeri,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",10.0,10.0,1.0,,,308643.0,,,,,
Crossocerus wesmaeli,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",15.0,17.0,2.0,,,308642.0,,,,,
Dasyproctus fortunatus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Didineis clavimana,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Didineis hispanica,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Didineis pannonica,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Didineis wuestneii,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,BEL,gap,,,,,,
Dinetus pictus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,iNat,HySI,DTN",25.0,29.0,2.0,HySI,,285651.0,,,,,
Diodontus bejarensis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Diodontus crassicornis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Diodontus freyi,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Dryudella aquitana,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Dryudella bifasciata,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",2.0,3.0,1.0,,,544970.0,,,,,
Dryudella erythrosoma,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Dryudella freygessneri,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI,DTN",,,,,gap,,,,,,
Dryudella monticola,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Dryudella sepulchralis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Ectemnius arcuatus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",40.0,42.0,3.0,HySI,,314630.0,,,,,
Ectemnius borealis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",43.0,48.0,4.0,,,193056.0,,,,,
Ectemnius cavifrons,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",24.0,27.0,1.0,,,308664.0,,,,,
Ectemnius cephalotes,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,iNat,HySI,DTN",77.0,89.0,1.0,,,91134.0,,,,,
Ectemnius confinis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",7.0,11.0,1.0,,,308663.0,,,,,
Ectemnius continuus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,iNat,HySI,DTN",54.0,91.0,2.0,,,70455.0,,,,,
Ectemnius crassicornis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",4.0,6.0,2.0,,,285663.0,,,,,
Ectemnius curictensis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Ectemnius dives,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",21.0,25.0,1.0,HySI,,193038.0,,,,,
Ectemnius fossorius,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",8.0,14.0,2.0,HySI,,311868.0,,,,,
Ectemnius guttatus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",9.0,12.0,1.0,,,308665.0,,,,,
Ectemnius hispanicus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Ectemnius hypsae,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",2.0,2.0,0.0,,,852610.0,,,,,
Ectemnius kriechbaumeri,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",6.0,7.0,1.0,,,407784.0,,,,,
Ectemnius lapidarius,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,iNat,HySI,DTN",55.0,58.0,3.0,,,78282.0,,,,,
Ectemnius lituratus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,iNat,HySI,DTN",17.0,25.0,2.0,,,285665.0,,,,,
Ectemnius massiliensis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Ectemnius meridionalis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",4.0,5.0,1.0,,,285666.0,,,,,
Ectemnius palamosi,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Ectemnius radiatus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",6.0,6.0,1.0,HySI,,314631.0,,,,,
Ectemnius rubicola,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",20.0,27.0,1.0,,,314667.0,,,,,
Ectemnius rugifer,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",0.0,2.0,0.0,,gap,285668.0,,,,,
Ectemnius schlettereri,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Ectemnius sexcinctus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,iNat,HySI,DTN",16.0,17.0,1.0,,,285669.0,,,,,
Ectemnius spinipes,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI,DTN",,,,,gap,,,,,,
Ectemnius walteri,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Encopognathus braunsi,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Entomognathus brevis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",51.0,55.0,1.0,,,285671.0,,,,,
Entomognathus dentifer,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Entomognathus fortuitus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Entomognathus libanonis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Entomognathus schmiedeknechti,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Entomosericus kaufmanni,Arthropoda,Insecta,Hymenoptera,Crabronidae,FE,,,,,gap,,,,,,
Gastrosericus waltlii,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",3.0,7.0,2.0,HySI,,562034.0,,,,,
Gorytes africanus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",5.0,5.0,1.0,,,720311.0,,,,,
Gorytes foveolatus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Gorytes kohlii,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Gorytes nigrifacies,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Gorytes pleuripunctatus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI,DTN",,,,,gap,,,,,,
Gorytes schmiedeknechti,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Harpactus alvaroi,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Harpactus croaticus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Harpactus immaculatus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",0.0,1.0,0.0,HySI,gap,330509.0,,,,,
Harpactus schwarzi,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Holotachysphex holognathus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",1.0,2.0,1.0,,,891661.0,,,,,
Holotachysphex mochii,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Hoplisoides craverii,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Hoplisoides latifrons,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Larra anathema,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",4.0,6.0,1.0,,,285677.0,,,,,
Larropsis asiatica,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Larropsis europaeae,Arthropoda,Insecta,Hymenoptera,Crabronidae,FE,,,,,gap,,,,,,
Larropsis punctulata,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Lestica alata,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,iNat,HySI,DTN",14.0,14.0,1.0,HySI,,308659.0,,,,,
Lestica clypeata,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,iNat,HySI,DTN",48.0,53.0,3.0,,,285679.0,,,,,
Lestica pluschtschevskyi,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Lestica subterranea,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",7.0,11.0,1.0,,,308658.0,,,,,
Lestiphorus bilunulatus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI,DTN",,,,,gap,,,,,,
Lindenius abditus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Lindenius aegyptius,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",1.0,4.0,1.0,,,720161.0,,,,,
Lindenius albilabris,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,iNat,HySI,DTN",40.0,42.0,2.0,,,314636.0,,,,,
Lindenius cabrerae,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Lindenius ceballosi,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Lindenius effrenus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Lindenius hamilcar,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",3.0,3.0,1.0,HySI,,736537.0,,,,,
Lindenius hannibal,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Lindenius hasdrubal,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Lindenius helleri,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Lindenius ibericus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,HySI,gap,,,,,,
Lindenius ibex,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Lindenius laevis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",47.0,49.0,2.0,,,285682.0,,,,,
Lindenius luteiventris,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Lindenius major,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Lindenius melinopus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",3.0,4.0,1.0,,,327865.0,,,,,
Lindenius merceti,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Lindenius mesopleuralis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",0.0,1.0,1.0,,gap,740804.0,,,,,
