species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Gronotoma nigra,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Gronotoma nigricornis,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Gronotoma phytomyzae,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Gronotoma ruficornis,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Gronotoma sculpturata,Arthropoda,Insecta,Hymenoptera,Figitidae,"FE,DTN",,,,,gap,
Hemicrisis ruficornis,Arthropoda,Insecta,Hymenoptera,Figitidae,"FE,DTN",,,,,gap,
Hexacola hexatoma,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE,DTN",51.0,57.0,3.0,,,646935.0
Hexacola novicia,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Hexacola romanica,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Homorus abnormis,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Kleidotoma adversa,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",1.0,1.0,0.0,,,780942.0
Kleidotoma affinis,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",45.0,46.0,1.0,,,780950.0
Kleidotoma albipennis,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",1.0,1.0,0.0,,,780941.0
Kleidotoma antennata,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Kleidotoma atomaria,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Kleidotoma atra,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Kleidotoma bicolor,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",0.0,2.0,0.0,,gap,646939.0
Kleidotoma brevicatillis,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Kleidotoma brevicornis,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Kleidotoma brunnea,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Kleidotoma caledonica,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",0.0,1.0,0.0,,gap,646938.0
Kleidotoma ciliaris,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Kleidotoma cordata,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Kleidotoma coxalis,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Kleidotoma dolichocera,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",0.0,1.0,0.0,,gap,646942.0
Kleidotoma elegans,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Kleidotoma emarginata,Arthropoda,Insecta,Hymenoptera,Figitidae,"FE,DTN",,,,,gap,
Kleidotoma filicornis,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",9.0,12.0,1.0,,,780946.0
Kleidotoma flecta,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Kleidotoma formicaria,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Kleidotoma geniculata,Arthropoda,Insecta,Hymenoptera,Figitidae,"FE,DTN",,,,,gap,
Kleidotoma gracilicornis,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Kleidotoma halophila,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Kleidotoma heterotoma,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Kleidotoma hexapla,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Kleidotoma hexatoma,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",2.0,4.0,0.0,,,780939.0
Kleidotoma icarus,Arthropoda,Insecta,Hymenoptera,Figitidae,BOLD,2.0,2.0,0.0,,,894810.0
Kleidotoma inermis,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Kleidotoma inustipennis,Arthropoda,Insecta,Hymenoptera,Figitidae,"FE,DTN",,,,,gap,
Kleidotoma istratii,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Kleidotoma laevigata,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Kleidotoma longicornis,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Kleidotoma longipennis,Arthropoda,Insecta,Hymenoptera,Figitidae,BOLD,0.0,1.0,0.0,,gap,780951.0
Kleidotoma maritima,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Kleidotoma marshalli,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
