species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12,Unnamed: 13,Unnamed: 14
Andrena setosifemoralis,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",8,12,2,,,198488,,,
Andrena similis,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",20,36,3,,,386878,,,
Andrena simontornyella,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",13,17,1,,,501998,,,
Andrena solenopalpa,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",3,4,0,,,695423,694946.0,,
Andrena soror,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",0,1,0,,gap,695428,,,
Andrena spinigera,Arthropoda,Insecta,Hymenoptera,Andrenidae,BOLD,10,10,1,,,501999,,,
Andrena spreta,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",33,37,1,,,695435,,,
Andrena strohmella,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",5,42,0,,,256554,,,
Andrena subopaca,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",53,78,3,,,214075,,,
Andrena suerinensis,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",4,12,0,,,250403,,,
Andrena susterai,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",3,6,1,,,327874,,,
Andrena symphyti,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",5,10,3,,,265302,,,
Andrena synadelpha,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",11,17,1,,,250404,,,
Andrena taraxaci,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",4,16,1,,,250405,,,
Andrena tarsata,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",12,38,1,,,250406,,,
Andrena tenuistriata,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",9,18,0,,,695478,,,
Andrena thoracica,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",14,41,3,,,250407,,,
Andrena tibialis,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",20,52,2,ITIS,,214082,694970.0,,
