species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Hellinsia tephradactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",29.0,32.0,2.0,,,179085.0,,,,,,,
Lantanophaga pusillidactylus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Marasmarcha aibasovi,Arthropoda,Insecta,Lepidoptera,Pterophoridae,LF,,,,,gap,,,,,,,,
Marasmarcha cinnamomeus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Marasmarcha colossa,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Marasmarcha ehrenbergianus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Marasmarcha fauna,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",1.0,2.0,0.0,,,517555.0,,,,,,,
Marasmarcha lunaedactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",12.0,17.0,3.0,,,205689.0,,,,,,,
Marasmarcha oxydactylus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",4.0,5.0,1.0,,,517556.0,,,,,,,
Marasmarcha rhypodactylus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Marasmarcha samarcandica,Arthropoda,Insecta,Lepidoptera,Pterophoridae,LF,,,,,gap,,,,,,,,
Megalorhipida leucodactylus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",70.0,87.0,3.0,,,77366.0,,,,,,,
Merrifieldia baliodactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",24.0,30.0,1.0,LF,,907591.0,197910.0,,,,,,
Merrifieldia bystropogonis,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",1.0,1.0,1.0,,,377821.0,,,,,,,
Merrifieldia calcarius,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Merrifieldia chordodactylus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Merrifieldia hedemanni,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Merrifieldia icterodactylus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,LF",0.0,1.0,0.0,,gap,517564.0,,,,,,,
Merrifieldia leucodactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",32.0,38.0,2.0,,,205691.0,,,,,,,
Merrifieldia malacodactylus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",16.0,18.0,2.0,LF,,517557.0,518749.0,854066.0,998835.0,,,,
Merrifieldia menthae,Arthropoda,Insecta,Lepidoptera,Pterophoridae,LF,,,,,gap,,,,,,,,
Merrifieldia particiliata,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Merrifieldia renatae,Arthropoda,Insecta,Lepidoptera,Pterophoridae,LF,,,,,gap,,,,,,,,
Merrifieldia semiodactylus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",0.0,1.0,0.0,,gap,787045.0,,,,,,,
