"me.species","me.records","me.auc","null.auc"
"Gymnoscelis insulariata.csv",7,0.9459,0.838357142857143
"Hadena behouneki.csv",544,0.8106,0.563790441176471
"Hadena rivularis.csv",1873,0.8101,0.541684997330486
"Haplochrois albanica.csv",6,0.9152,0.839916666666667
"Hellinsia coniodactylus.csv",16,0.8062,0.7665625
"Hepialus sylvina.csv",2844,0.8172,0.537584563994374
"Heterogynis dubia.csv",124,0.8505,0.623475806451613
"Hipparchia maderensis.csv",313,0.9125,0.57973482428115
"Homoeosoma inustella.csv",11,0.7614,0.805727272727273
"Huertasiella italogallicella.csv",8,0.8232,0.819625
"Hydria incertata.csv",5,0.9818,0.8402
"Hypena palpalis.csv",13,0.8529,0.783846153846154
"Hyperlais glyceralis.csv",22,0.8497,0.720818181818182
"Hyperlais siccalis.csv",22,0.8532,0.736772727272727
"Hypochalcia bruandella.csv",28,0.9692,0.71875
"Hypotia leucographalis.csv",5,0.9835,0.871
"Hypotia massilialis.csv",5,0.6245,0.8696
"Hypotia miegi.csv",11,0.9627,0.780181818181818
"Hypsopygia incarnatalis.csv",25,0.8068,0.72032
"Idaea lusohispanica.csv",9,0.7759,0.790666666666667
"Idaea praecisa.csv",78,0.8753,0.653282051282051
"Infurcitinea corleyi.csv",6,0.986,0.8715
"Infurcitinea marcunella.csv",5,0.8755,0.8862
"Isophrictis lineatellus.csv",51,0.8853,0.672137254901961
"Kasyniana griseosericeella.csv",28,0.9343,0.703035714285714
"Kessleria brevicornuta.csv",9,0.9794,0.787444444444444
"Korscheltellus lupulinus.csv",1870,0.849,0.540992245989305
"Lamoria jordanis.csv",7,0.9125,0.865214285714286
"Lantanophaga pusillidactylus.csv",19,0.9467,0.743263157894737
"Lepidotarphius perornatella.csv",5,0.9463,0.8748
"Leucochlaena hispida.csv",258,0.858,0.595492248062016
"Leucoptera aceris.csv",17,0.9136,0.758411764705882
"Leucoptera adenocarpella.csv",10,0.9317,0.7859
"Leucoptera coronillae.csv",5,0.991,0.8772
"Leucoptera cytisanthi.csv",241,0.8895,0.598908713692946
"Leucoptera lotella.csv",30,0.9117,0.711033333333333
"Lobesia occidentis.csv",5,0.9023,0.8844
"Loxostege fascialis.csv",6,0.7486,0.869
"Loxostege tesselalis.csv",12,0.8836,0.782041666666667
"Loxostege tessellalis.csv",12,0.8837,0.780833333333333
"Luffia lapidella (bisex. Form).csv",116,0.8998,0.635353448275862
"Luffia lapidella f. ferchaultella (parth. Form).csv",116,0.9063,0.625801724137931
"Lycophotia erythrina.csv",147,0.8647,0.613551020408163
"Macrochilo cribumalis.csv",1526,0.8476,0.543815203145478
"Mamestra thalassina.csv",1513,0.8311,0.5420717118308
"Maradana fuscolimbalis.csv",17,0.9153,0.729117647058824
"Megacraspedus carolustertius.csv",12,0.8309,0.788166666666667
"Megacraspedus grossisquammellus.csv",34,0.8254,0.696205882352941
"Megacraspedus incertellus.csv",40,0.7646,0.682125
"Megacraspedus litovalvellus.csv",5,0.684,0.893
"Megacraspedus separatellus.csv",40,0.7714,0.698375
"Megacraspedus subdolellus.csv",34,0.8176,0.699941176470588
"Megacraspedus tutti.csv",34,0.8184,0.678970588235294
"Melathrix coenulentella.csv",5,0.969,0.8873
"Menophra canariensis.csv",1984,0.8152,0.542767389112903
"Merrifieldia icterodactylus.csv",163,0.8314,0.607877300613497
"Mesocrambus tamsi.csv",9,0.8381,0.79
"Mesophleps ochracella.csv",7,0.9052,0.858285714285714
"Metacrambus pallidellus.csv",19,0.8885,0.733684210526316
"Metallostichodes bicolorella.csv",26,0.8795,0.690384615384615
"Metasia corsicalis.csv",29,0.8552,0.715793103448276
"Metasia cuencalis.csv",98,0.8554,0.636224489795918
"Metasia cyrnealis.csv",72,0.8244,0.656236111111111
"Metasia gigantalis.csv",9,0.7499,0.804222222222222
"Metasia ibericalis.csv",25,0.8063,0.71512
"Metasia parvalis.csv",72,0.8262,0.652472222222222
