species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Hodgesiella rebeli,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,FE,LF",2.0,2.0,1.0,,,787033.0
Hodgesiella rhodorrhizella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"FE,LF",,,,FD,gap,
Isidiella divitella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"FE,LF",,,,,gap,
Isidiella nickerlii,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,FE,LF",1.0,1.0,1.0,,,677323.0
Limnaecia phragmitella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,FE,LF,iNat",123.0,129.0,1.0,,,15438.0
Pancalia baldizzonella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"FE,LF",,,,,gap,
Pancalia leuwenhoekella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,FE,LF",19.0,28.0,1.0,,,255677.0
Pancalia nodosella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,FE,LF",2.0,2.0,1.0,,,894263.0
Pancalia schwarzella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,FE,LF",16.0,20.0,1.0,,,271600.0
Pyroderces apicinotella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,LF,,,,,gap,
Pyroderces argyrogrammos,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,FE,LF",24.0,27.0,1.0,,,362496.0
Pyroderces brosi,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"FE,LF",,,,,gap,
Pyroderces caesaris,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"FE,LF",,,,,gap,
Pyroderces klimeschi,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,FE,LF",5.0,5.0,0.0,,,787034.0
Pyroderces tethysella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"FE,LF",,,,,gap,
Pyroderces wolschrijni,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"FE,LF",1.0,1.0,0.0,,,487104.0
Ramphis ibericus,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,FE,LF",0.0,1.0,0.0,,gap,535693.0
Ramphis libanoticus,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"FE,LF",,,,,gap,
Sorhagenia janiszewskae,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,FE,LF",31.0,36.0,1.0,,,205668.0
Sorhagenia lophyrella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,FE,LF",31.0,40.0,1.0,,,183447.0
Sorhagenia orocorsa,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,LF,,,,,gap,
Sorhagenia reconditella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"FE,LF",,,,,gap,
Sorhagenia rhamniella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,FE,LF",34.0,36.0,1.0,,,311406.0
Stagmatophora heydeniella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,FE,LF",4.0,6.0,1.0,,,261770.0
Vulcaniella cognatella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,FE,LF",0.0,1.0,0.0,,gap,535690.0
Vulcaniella extremella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,FE,LF",5.0,10.0,1.0,,,535689.0
Vulcaniella fiordalisa,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,FE,LF",7.0,10.0,2.0,,,362498.0
Vulcaniella gielisi,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"FE,LF",,,,,gap,
Vulcaniella grabowiella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,FE,LF",7.0,8.0,0.0,,,456817.0
Vulcaniella grandiferella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"FE,LF",,,,,gap,
Vulcaniella karadaghella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"FE,LF",,,,,gap,
Vulcaniella klimeschi,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"FE,LF",,,,,gap,
Vulcaniella pomposella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,FE,LF",1.0,1.0,0.0,,,887968.0
Vulcaniella rosmarinella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"FE,LF",,,,,gap,
