species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12,Unnamed: 13,Unnamed: 14
Agriopis bajaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",30.0,50.0,5.0,,,151055.0,451315.0,,
Agriopis budashkini,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",9.0,20.0,1.0,,,224499.0,,,
Agriopis leucophaearia,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",617.0,629.0,1.0,,,174938.0,,,
Agriopis marginaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",129.0,201.0,1.0,,,98703.0,195485.0,1144536.0,
Alcis deversata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",97.0,110.0,3.0,AH,,454131.0,151088.0,,
Alcis jubata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",19.0,22.0,1.0,,,176029.0,,,
Alcis repandata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",160.0,174.0,5.0,,,98680.0,,,
Aleucis distinctata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",14.0,18.0,1.0,,,160357.0,,,
Aleucis orientalis,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",5.0,8.0,1.0,,,90818.0,1074989.0,,
Almeria kalischata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",11.0,13.0,1.0,,,257658.0,,,
Alsophila aceraria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",8.0,11.0,1.0,,,347804.0,,,
Alsophila aescularia,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",74.0,121.0,1.0,,,98683.0,,,
Amygdaloptera testaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",1.0,2.0,0.0,,,888444.0,,,
Angerona prunaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",57.0,65.0,3.0,,,110094.0,,,
Anthometra plumularia,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",2.0,4.0,0.0,,,888434.0,,,
Anticlea cabrerai,Arthropoda,Insecta,Lepidoptera,Geometridae,FE,,,,AH,gap,,,,
Anticlea derivata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",27.0,32.0,2.0,,,100513.0,,,
Anticollix sparsata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",21.0,26.0,1.0,,,152097.0,,,
Antilurga alhambrata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",2.0,5.0,1.0,,,308338.0,,,
Antilurga cabrerai,Arthropoda,Insecta,Lepidoptera,Geometridae,LF,,,,,gap,,,,
Apeira syringaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",31.0,37.0,4.0,,,180132.0,,,
Aplasta ononaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",12.0,17.0,4.0,,,182360.0,,,
Aplocera annexata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",4.0,5.0,1.0,,,177449.0,,,
Aplocera bohatschi,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",2.0,3.0,1.0,,,308383.0,,,
Aplocera columbata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",4.0,7.0,1.0,,,123764.0,,,
Aplocera corsalta,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",3.0,5.0,1.0,,,282322.0,,,
Aplocera cretica,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",1.0,3.0,1.0,,,308385.0,,,
Aplocera efformata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",21.0,30.0,1.0,,,98697.0,,,
Aplocera plagiata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",105.0,128.0,1.0,,,34864.0,,,
Aplocera praeformata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",37.0,41.0,1.0,,,98718.0,,,
Aplocera simpliciata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",7.0,10.0,1.0,,,176030.0,,,
Aplocera vivesi,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",1.0,4.0,1.0,,,308384.0,,,
Apocheima hispidaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",29.0,36.0,1.0,,,123784.0,,,
Apochima flabellaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",15.0,18.0,1.0,,,408271.0,,,
Archiearis parthenias,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",35.0,44.0,2.0,,,25567.0,,,
Arichanna melanaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",171.0,179.0,5.0,,,112192.0,,,
Artiora evonymaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",3.0,6.0,1.0,,,224487.0,,,
Ascotis fortunata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",8.0,13.0,3.0,,,260521.0,413553.0,,
Ascotis selenaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",127.0,148.0,5.0,,,96835.0,,,
Asovia maeoticaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",4.0,7.0,1.0,,,110169.0,,,
Aspitates albaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"FE,LF",1.0,1.0,0.0,,,888458.0,,,
Aspitates collinaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",1.0,3.0,0.0,,,260522.0,593865.0,,
Aspitates forbesi,Arthropoda,Insecta,Lepidoptera,Geometridae,"FE,LF",6.0,6.0,2.0,,,102283.0,,,
Aspitates gilvaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",25.0,29.0,4.0,,,160355.0,,,
Aspitates mundataria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",13.0,17.0,1.0,AH,,224389.0,,,
Aspitates ochrearia,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",89.0,97.0,4.0,LF,,110156.0,16837.0,,
Aspitates taylorae,Arthropoda,Insecta,Lepidoptera,Geometridae,"FE,LF",,,,,gap,,,,
Asthena albulata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",34.0,44.0,1.0,,,110095.0,,,
Asthena anseraria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",16.0,21.0,1.0,,,177433.0,,,
Asthena lactularia,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",0.0,4.0,0.0,BEL,gap,888445.0,,,
Athroolopha chrysitaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",1.0,2.0,1.0,,,760972.0,,,
Athroolopha latimargo,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,LF",3.0,6.0,0.0,,,978738.0,,,
Athroolopha pennigeraria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",2.0,3.0,1.0,,,195518.0,,,
Baptria tibiale,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",15.0,17.0,1.0,,,224479.0,,,
Biston achyra,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",9.0,12.0,2.0,,,90739.0,,,
Biston betularia,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",443.0,500.0,5.0,,,15515.0,,,
Biston rosenbaueri,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,LF",9.0,11.0,1.0,,,943765.0,,,
Biston strataria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",64.0,70.0,1.0,,,123786.0,,,
Boudinotiana notha,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",26.0,30.0,1.0,,,195498.0,,,
Boudinotiana puella,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",3.0,4.0,1.0,,,195488.0,,,
Boudinotiana touranginii,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",9.0,10.0,1.0,,,195492.0,,,
Brachyglossina exilaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",2.0,5.0,1.0,FD,,282310.0,,,
Brachyglossina hispanaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",4.0,6.0,1.0,,,204516.0,,,
Brachyglossina manicaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",1.0,2.0,1.0,FD,,155590.0,,,
Bupalus piniaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",55.0,61.0,1.0,,,160359.0,,,
Bustilloxia saturata,Arthropoda,Insecta,Lepidoptera,Geometridae,"FE,LF",1.0,1.0,1.0,,,597393.0,,,
Cabera exanthemata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",118.0,126.0,1.0,,,23826.0,,,
Cabera leptographa,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",4.0,5.0,1.0,,,205627.0,,,
Cabera pusaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",96.0,105.0,1.0,,,110090.0,,,
Calamodes melanaria,Arthropoda,Insecta,Lepidoptera,Geometridae,LF,7.0,7.0,0.0,,,282288.0,,,
Calamodes occitanaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",4.0,5.0,1.0,,,282287.0,,,
Calamodes subscudularia,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",10.0,11.0,1.0,,,151053.0,,,
Campaea margaritaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",134.0,140.0,3.0,,,98693.0,141378.0,,
Camptogramma bilineata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",100.0,116.0,1.0,,,91965.0,,,
Camptogramma bistrigata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",5.0,6.0,1.0,,,151035.0,,,
Camptogramma grisescens,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",7.0,9.0,1.0,,,110206.0,,,
Camptogramma scripturata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",13.0,15.0,1.0,,,246313.0,180126.0,,
Carsia lythoxylata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",3.0,5.0,1.0,,,123762.0,,,
Carsia sororiata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",49.0,60.0,1.0,,,15740.0,,,
Casilda antophilaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",6.0,11.0,1.0,,,196237.0,,,
Casilda consecraria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",6.0,8.0,1.0,,,90720.0,,,
Casilda rosearia,Arthropoda,Insecta,Lepidoptera,Geometridae,LF,,,,,gap,,,,
Cataclysme dissimilata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",3.0,5.0,1.0,,,282340.0,,,
Cataclysme riguata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",27.0,41.0,2.0,,,100492.0,,,
Cataclysme uniformata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",8.0,9.0,1.0,,,257667.0,,,
Catarhoe basochesiata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",15.0,16.0,1.0,,,141383.0,,,
Catarhoe cuculata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",57.0,63.0,3.0,,,110092.0,,,
Catarhoe cupreata,Arthropoda,Insecta,Lepidoptera,Geometridae,LF,,,,,gap,,,,
Catarhoe hortulanaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",21.0,23.0,4.0,,,96827.0,,,
Catarhoe mazeli,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",2.0,2.0,1.0,,,308334.0,,,
Catarhoe permixtaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",21.0,26.0,3.0,,,90807.0,,,
Catarhoe putridaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",15.0,21.0,1.0,,,90819.0,749695.0,,
Catarhoe rubidata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",27.0,31.0,1.0,,,149269.0,,,
Celonoptera mirificaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",11.0,11.0,3.0,,,374397.0,,,
Cepphis advenaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",33.0,35.0,1.0,,,180130.0,,,
Chariaspilates formosaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",11.0,15.0,1.0,,,142094.0,,,
Charissa ambiguata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",62.0,76.0,1.0,,,104350.0,,,
Charissa annubilata,Arthropoda,Insecta,Lepidoptera,Geometridae,LF,5.0,6.0,1.0,,,963380.0,,,
Charissa assoi,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",7.0,9.0,1.0,,,176060.0,,,
Charissa avilarius,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",2.0,3.0,1.0,,,175952.0,,,
Charissa bellieri,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",7.0,7.0,1.0,,,175929.0,,,
Charissa canariensis,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",6.0,9.0,3.0,,,268934.0,806806.0,175928.0,
Charissa certhiatus,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",8.0,11.0,1.0,,,175930.0,,,
Charissa ciscaucasica,Arthropoda,Insecta,Lepidoptera,Geometridae,LF,11.0,17.0,2.0,,,190570.0,,,
Charissa corsica,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",9.0,9.0,1.0,,,175942.0,,,
Charissa crenulata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",7.0,10.0,1.0,,,26155.0,,,
Charissa difficilis,Arthropoda,Insecta,Lepidoptera,Geometridae,LF,2.0,2.0,0.0,,,481042.0,,,
Charissa dubitaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",22.0,26.0,2.0,AH,,260315.0,519534.0,175943.0,
Charissa glaucinaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",52.0,64.0,1.0,,,141412.0,182704.0,,
Charissa graecaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,LF",1.0,4.0,1.0,,,454174.0,,,
Charissa herbuloti,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,LF",1.0,3.0,0.0,,,368895.0,,,
Charissa intermedia,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",7.0,13.0,1.0,,,175927.0,,,
Charissa italohelveticus,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",6.0,10.0,1.0,,,175950.0,,,
Charissa macguffini,Arthropoda,Insecta,Lepidoptera,Geometridae,"FE,LF",,,,,gap,,,,
Charissa mucidaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",40.0,55.0,1.0,,,26157.0,,,
Charissa mutilata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",11.0,12.0,2.0,,,175939.0,,,
Charissa obscurata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",58.0,65.0,4.0,,,141375.0,,,
Charissa onustaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",32.0,47.0,2.0,AH,,90867.0,296436.0,,
Charissa pallescens,Arthropoda,Insecta,Lepidoptera,Geometridae,LF,,,,,gap,,,,
Charissa peloponnesiaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,LF",5.0,5.0,2.0,,,769508.0,,,
Charissa pentheri,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",0.0,3.0,0.0,,gap,447467.0,760992.0,,
Charissa pfeifferi,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,LF",16.0,18.0,2.0,,,204506.0,26156.0,,
Charissa predotae,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",9.0,12.0,1.0,,,175932.0,,,
Charissa pullata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",25.0,31.0,1.0,,,175951.0,,,
Charissa remmi,Arthropoda,Insecta,Lepidoptera,Geometridae,"FE,LF",2.0,4.0,1.0,,,447460.0,,,
Charissa sheljuzhkoi,Arthropoda,Insecta,Lepidoptera,Geometridae,LF,0.0,4.0,0.0,,gap,447459.0,,,
Charissa staudingeri,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,LF",3.0,3.0,1.0,,,175966.0,447453.0,561269.0,
Charissa subtaurica,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",18.0,24.0,1.0,,,90711.0,,,
Charissa supinaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",23.0,24.0,1.0,,,204505.0,,,
Charissa symmicta,Arthropoda,Insecta,Lepidoptera,Geometridae,LF,4.0,7.0,2.0,,,454163.0,,,
Charissa talyshensis,Arthropoda,Insecta,Lepidoptera,Geometridae,LF,,,,,gap,,,,
Charissa turfosaria,Arthropoda,Insecta,Lepidoptera,Geometridae,LF,7.0,7.0,1.0,,,1023298.0,,,
Charissa variegata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",35.0,46.0,1.0,,,110170.0,,,
Charissa zeitunaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"FE,LF",5.0,5.0,1.0,,,175933.0,,,
Charissa zejae,Arthropoda,Insecta,Lepidoptera,Geometridae,LF,13.0,16.0,1.0,,,204508.0,,,
Chemerina caliginearia,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",7.0,9.0,1.0,,,141385.0,,,
Chesias angeri,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",1.0,1.0,1.0,,,308389.0,,,
Chesias capriata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",7.0,7.0,2.0,,,391303.0,,,
Chesias isabella,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",16.0,20.0,1.0,,,262716.0,,,
Chesias legatella,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",21.0,33.0,1.0,,,177432.0,,,
Chesias linogrisearia,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",6.0,6.0,1.0,,,308390.0,,,
Chesias pinkeri,Arthropoda,Insecta,Lepidoptera,Geometridae,LF,,,,,gap,,,,
Chesias rhegmatica,Arthropoda,Insecta,Lepidoptera,Geometridae,"FE,LF",,,,,gap,,,,
Chesias rufata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",19.0,33.0,3.0,LF,,141791.0,,,
Chiasmia aestimaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",68.0,81.0,3.0,,,92124.0,,,
Chiasmia clathrata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",74.0,84.0,1.0,,,110100.0,,,
Chiasmia sareptanaria,Arthropoda,Insecta,Lepidoptera,Geometridae,LF,,,,,gap,,,,
Chiasmia syriacaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"FE,LF",6.0,10.0,1.0,,,90779.0,,,
Chlorissa cloraria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",16.0,19.0,1.0,,,194004.0,,,
Chlorissa pretiosaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"FE,LF",6.0,9.0,2.0,,,194005.0,,,
Chlorissa viridata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",30.0,36.0,2.0,,,110178.0,,,
Chloroclysta concinnata,Arthropoda,Insecta,Lepidoptera,Geometridae,LF,,,,,gap,,,,
Chloroclysta miata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",42.0,46.0,1.0,,,158298.0,,,
Chloroclysta siterata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",83.0,91.0,1.0,,,90873.0,,,
Chloroclystis v-ata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",76.0,86.0,2.0,,,98679.0,,,
Chondrosoma fiduciaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",3.0,3.0,0.0,,,593864.0,,,
Cidaria fulvata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",24.0,64.0,1.0,,,98720.0,,,
Cinglis andalusiaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,LF",2.0,2.0,2.0,,,155593.0,,,
Cinglis humifusaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"FE,LF",7.0,9.0,1.0,,,177649.0,,,
Cleora cinctaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",34.0,40.0,1.0,,,151059.0,,,
Cleorodes lichenaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",38.0,45.0,1.0,,,104354.0,,,
Cleta filacearia,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",7.0,17.0,3.0,,,141768.0,,,
Cleta perpusillaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",2.0,2.0,0.0,,,405907.0,,,
Cleta ramosaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",1.0,3.0,0.0,,,374405.0,,,
Coenocalpe lapidata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",12.0,14.0,3.0,,,158303.0,,,
Coenocalpe millierata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",5.0,12.0,1.0,,,158304.0,,,
Coenotephria ablutaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",66.0,75.0,4.0,,,123799.0,,,
Coenotephria antonii,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,LF",3.0,5.0,2.0,,,408084.0,,,
Coenotephria christlae,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,LF",1.0,1.0,1.0,,,600268.0,,,
Coenotephria salicata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",60.0,68.0,2.0,,,100509.0,197761.0,,
Coenotephria schneideraria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",5.0,6.0,2.0,FD,,465103.0,288293.0,,
Coenotephria tophaceata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",24.0,27.0,1.0,,,141800.0,,,
Colostygia aptata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",51.0,56.0,1.0,,,100516.0,,,
Colostygia aqueata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",50.0,54.0,1.0,,,100517.0,399897.0,,
Colostygia austriacaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",12.0,12.0,1.0,,,176037.0,,,
Colostygia cyrnea,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",1.0,1.0,1.0,,,297208.0,,,
Colostygia fitzi,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",3.0,7.0,1.0,,,274726.0,,,
Colostygia hilariata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",4.0,5.0,1.0,,,297193.0,,,
Colostygia kitschelti,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",11.0,11.0,2.0,,,645881.0,,,
Colostygia kollariaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",18.0,20.0,1.0,,,224474.0,,,
Colostygia laetaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",8.0,9.0,1.0,,,266431.0,,,
Colostygia multistrigaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",26.0,32.0,3.0,,,141794.0,,,
Colostygia olivata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",42.0,46.0,6.0,,,98711.0,,,
